1101,25.07,32.87,19.09,27.40,22.03,30.91,1.68,0.57,4.32,3.15,1.94
1102,24.39,29.82,20.83,25.14,26.54,30.86,2.24,1.02,4.70,3.30,1.73
1103,-1.88,-6.98,-24.84,39.96,-20.35,102.31,-0.47,-0.20,2.74,0.82,-0.11
1104,17.41,16.72,9.83,9.09,17.96,23.91,1.25,0.35,1.91,1.33,0.73
1108,13.34,15.82,7.36,9.88,6.81,9.81,1.20,0.13,0.97,0.81,0.56
1109,33.21,34.37,26.99,27.69,28.56,27.90,4.13,0.83,2.94,1.72,0.93
1110,6.54,4.23,0.74,-1.92,5.16,0.47,0.17,0.03,0.04,0.01,-0.03
1201,29.20,29.19,2.19,3.19,2.67,2.91,1.25,0.17,1.06,0.64,0.21
1203,34.48,33.82,17.42,16.13,19.77,15.57,3.38,0.55,1.81,1.49,0.93
1210,13.83,15.02,3.85,5.16,5.04,6.10,3.40,1.01,3.99,2.94,1.66
1213,2.94,1.35,-11.56,-12.80,-13.40,-7.46,-2.58,-0.24,-0.48,-0.18,-0.07
1215,15.82,15.88,8.19,8.56,8.20,9.23,4.20,1.45,6.18,4.63,2.61
1216,33.90,34.43,6.43,6.66,8.23,8.59,4.24,0.95,3.79,3.17,1.91
1217,31.57,32.92,5.61,4.68,7.78,6.72,1.04,0.14,0.47,0.51,0.15
1218,16.35,19.63,3.39,3.79,8.17,10.84,2.32,0.34,1.75,1.43,0.73
1219,13.79,11.02,6.38,2.69,7.21,5.48,4.96,0.73,1.91,1.48,1.06
1220,19.69,16.11,11.94,7.87,12.71,8.53,2.82,0.37,1.02,0.70,0.39
1225,12.58,10.90,7.35,4.98,8.34,5.51,5.47,0.91,1.72,1.04,0.65
1227,25.46,27.88,8.71,11.73,8.77,12.44,3.11,0.62,3.54,2.79,1.75
1229,22.16,21.34,10.11,11.00,60.60,38.06,2.91,0.98,2.43,1.76,1.14
1231,23.51,21.40,9.33,8.38,9.80,9.66,4.50,1.02,3.74,2.38,1.30
1232,16.42,14.04,11.64,9.28,12.84,9.47,10.18,3.05,8.08,5.41,3.24
1233,58.83,57.46,4.42,3.41,4.25,3.68,1.10,0.18,0.63,0.41,0.14
1234,22.01,28.63,2.55,6.69,7.69,11.24,0.73,0.33,2.22,1.79,0.70
1235,-58.68,46.45,-131.90,22.65,-328.66,89.59,-0.37,-0.13,0.65,0.83,-0.12
1236,31.81,28.61,9.94,-0.70,11.29,0.01,3.75,0.57,0.00,-0.14,-0.36
1702,33.66,33.70,9.75,9.52,10.13,9.40,4.33,1.13,3.84,2.59,1.24
1737,40.70,41.77,16.38,14.80,16.15,14.82,1.59,0.51,1.83,1.22,0.74
1301,27.32,15.64,21.26,9.20,29.80,13.01,4.33,2.35,3.15,1.47,-0.16
1303,23.84,14.49,18.10,7.76,24.27,11.13,4.94,2.23,3.24,1.71,0.40
1304,27.52,20.88,19.79,13.74,20.16,14.18,5.15,1.16,2.25,1.04,0.48
1305,32.08,24.46,22.17,15.68,22.22,15.74,8.24,1.49,2.95,1.11,0.46
1307,24.25,22.08,10.34,5.90,10.31,4.08,2.59,0.51,0.55,0.31,0.06
1308,34.70,19.80,30.87,16.17,36.11,22.54,4.41,0.95,1.90,0.96,0.63
1309,18.36,20.15,13.00,15.62,13.94,16.01,7.38,1.42,5.58,3.28,1.37
1310,13.44,3.76,10.26,1.11,13.27,4.55,3.16,0.45,0.55,-0.29,-0.32
1312,27.56,18.74,19.21,10.60,44.27,30.82,6.12,2.13,4.52,2.34,0.78
1313,13.67,8.94,9.64,4.38,9.55,5.17,5.08,0.99,1.62,0.65,-0.16
1314,14.95,0.22,7.40,-10.31,9.01,0.59,0.92,0.20,0.21,0.02,0.14
1315,18.40,17.11,3.56,1.70,6.49,265.64,0.26,0.24,31.97,29.58,27.43
1321,9.62,12.05,1.32,4.67,16.29,8.07,3.60,1.13,3.24,2.62,1.94
1323,24.23,25.27,11.62,13.56,10.86,13.90,2.64,0.62,3.20,2.40,1.75
1324,15.64,17.36,-0.60,1.52,-0.75,2.15,-0.32,-0.04,0.22,0.16,0.10
1325,47.60,66.70,41.90,62.23,42.03,62.40,4.03,1.84,23.16,16.70,8.66
1326,20.06,11.66,14.95,6.05,19.91,9.78,3.45,2.20,3.34,1.67,-0.59
4306,16.25,16.48,6.49,5.11,28.42,6.76,9.67,1.83,1.51,2.27,0.30
1402,21.16,19.54,5.52,4.84,8.61,7.80,1.44,0.54,1.62,1.34,0.74
1409,0,0,10.85,7.21,10.85,7.21,2.17,0.44,1.79,1.37,0.93
1410,36.53,36.43,20.07,21.02,20.73,19.43,1.56,0.26,0.95,0.67,0.45
1413,5.61,-4.67,1.06,-10.52,1.03,-10.39,0.61,0.05,-1.23,-1.05,-0.77
1414,19.20,8.95,9.55,-1.72,9.64,8.89,0.56,0.08,0.27,0.21,-0.01
1417,62.99,21.58,19.39,-34.61,26.39,-24.46,3.75,0.52,-1.86,-1.69,-0.46
1418,-596.52,-185.29,-1025.05,-272.87,-1077.49,-220.97,-42.98,-2.66,-4.20,-3.44,-2.32
1419,29.54,28.99,7.82,7.60,13.39,18.42,0.71,0.22,1.22,0.93,0.09
1423,49.78,-72.64,33.88,-97.37,45.67,199.68,0.66,0.14,2.56,-0.83,-0.58
1434,13.37,10.47,5.41,2.00,7.85,7.86,0.93,0.34,1.25,1.06,0.97
1439,-1.29,-1.56,-36.99,-26.72,135.52,-210.13,1.33,0.33,-2.65,-0.05,-0.33
1440,19.23,9.43,8.49,-1.07,23.65,5.61,4.38,0.68,0.57,0.15,-0.04
1443,30.40,27.29,20.00,15.94,20.11,-8.42,3.53,0.25,-0.29,-0.34,-0.32
1444,12.48,4.52,2.79,-2.99,4.10,-5.49,0.63,0.08,-0.38,-0.43,-0.27
1445,5.29,-0.55,-6.13,-13.28,-4.84,-9.14,-0.90,-0.11,-0.44,-0.35,-0.25
